skill		level		efficiency*	fd gain		total fd	total fragments cost
cleave   	21->22		0.002928	0.264		38.792		4993
cleave   	22->23		0.002767	0.263		39.157		5088
cleave   	23->24		0.002622	0.262		39.522		5188
cleave   	24->25		0.002490	0.262		39.888		5293
cleave   	25->26		0.002371	0.261		40.253		5403
cleave   	26->27		0.002262	0.260		40.618		5518
cleave   	27->28		0.002162	0.260		40.983		5638
legacy   	13->14		0.002104	0.007		40.994		5721
legacy   	14->15		0.002995	0.007		41.004		5811
legacy   	15->16		0.005672	0.557		41.790		5909
cleave   	28->29		0.002064	0.258		42.156		6034
maestro  	9->10		0.002056	0.287		42.564		6234
maestro  	10->11		0.002999	0.240		42.906		6314
maestro  	11->12		0.002660	0.240		43.248		6404
maestro  	12->13		0.002388	0.239		43.591		6504
maestro  	13->14		0.002166	0.239		43.933		6614
storm    	1->2		0.001996	0.046		44.000		6637
maestro  	14->15		0.001980	0.238		44.342		6757
cleave   	29->30		0.001906	0.478		45.032		7007
infinity 	10->11		0.001820	0.109		45.190		7067
maestro  	15->16		0.001812	0.236		45.532		7197
legacy   	16->17		0.001688	0.007		45.543		7302
legacy   	17->18		0.002419	0.007		45.553		7415
legacy   	18->19		0.004639	0.558		46.366		7535
maestro  	16->17		0.001685	0.236		46.711		7675
storm    	2->3		0.001680	0.045		46.778		7702
infinity 	11->12		0.001602	0.109		46.938		7770
decree   	29->30		0.001589	0.398		47.523		8020
maestro  	17->18		0.001560	0.234		47.869		8170
storm    	3->4		0.001500	0.045		47.935		8200
maestro  	18->19		0.001459	0.234		48.281		8360
infinity 	12->13		0.001438	0.108		48.441		8435
infinity 	13->14		0.001427	0.108		48.601		8518
infinity 	14->15		0.001452	0.108		48.761		8608
infinity 	15->16		0.001496	0.108		48.921		8706
infinity 	16->17		0.001573	0.107		49.081		8811
infinity 	17->18		0.001703	0.107		49.241		8924
infinity 	18->19		0.001939	0.107		49.401		9044
infinity 	19->20		0.002435	0.642		50.360		9307
storm    	4->5		0.001315	0.044		50.427		9341
storm    	5->6		0.001328	0.044		50.494		9379
storm    	6->7		0.001362	0.044		50.560		9421
storm    	7->8		0.001427	0.044		50.627		9466
storm    	8->9		0.001541	0.044		50.693		9515
storm    	9->10		0.001765	0.265		51.093		9665
maestro  	19->20		0.001298	0.453		51.777		10015
maestro  	20->21		0.001365	0.232		52.130		10185
maestro  	21->22		0.001286	0.232		52.482		10365
maestro  	22->23		0.001215	0.231		52.835		10555
legacy   	19->20		0.001208	0.041		52.897		10818
legacy   	20->21		0.002174	0.007		52.908		10946
legacy   	21->22		0.004185	0.567		53.774		11081
legacy   	22->23		0.001273	0.007		53.784		11224
legacy   	23->24		0.001842	0.007		53.795		11374
legacy   	24->25		0.003549	0.562		54.660		11532
ruin     	1->2		0.001184	0.027		54.702		11555
maestro  	23->24		0.001159	0.232		55.061		11755
infinity 	20->21		0.001107	0.105		55.224		11883
infinity 	21->22		0.001137	0.105		55.387		12018
infinity 	22->23		0.001176	0.105		55.550		12161
infinity 	23->24		0.001231	0.105		55.713		12311
infinity 	24->25		0.001304	0.105		55.876		12469
infinity 	25->26		0.001407	0.105		56.039		12634
infinity 	26->27		0.001558	0.104		56.202		12807
infinity 	27->28		0.001792	0.104		56.365		12987
infinity 	28->29		0.002194	0.104		56.528		13175
infinity 	29->30		0.003037	1.145		58.320		13550
legacy   	25->26		0.001115	0.007		58.331		13715
legacy   	26->27		0.001618	0.007		58.341		13888
legacy   	27->28		0.003137	0.566		59.238		14068
maestro  	24->25		0.001082	0.228		59.600		14278
maestro  	25->26		0.001057	0.227		59.963		14498
maestro  	26->27		0.001080	0.227		60.325		14728
maestro  	27->28		0.001122	0.226		60.687		14968
maestro  	28->29		0.001201	0.226		61.050		15218
maestro  	29->30		0.001375	0.690		62.161		15718
ruin     	2->3		0.000968	0.026		62.203		15745
ruin     	3->4		0.000871	0.026		62.245		15775
ruin     	4->5		0.000777	0.026		62.288		15809
ruin     	5->6		0.000785	0.026		62.330		15847
ruin     	6->7		0.000805	0.026		62.372		15889
ruin     	7->8		0.000843	0.026		62.415		15934
ruin     	8->9		0.000911	0.026		62.457		15983
ruin     	9->10		0.001043	0.157		62.712		16133
storm    	10->11		0.000696	0.042		62.780		16193
storm    	11->12		0.000614	0.042		62.848		16261
storm    	12->13		0.000556	0.042		62.916		16336
storm    	13->14		0.000554	0.042		62.983		16419
storm    	14->15		0.000564	0.042		63.051		16509
storm    	15->16		0.000582	0.042		63.119		16607
storm    	16->17		0.000612	0.042		63.187		16712
storm    	17->18		0.000662	0.042		63.255		16825
storm    	18->19		0.000755	0.042		63.323		16945
storm    	19->20		0.000948	0.250		63.731		17208
storm    	20->21		0.000440	0.042		63.799		17336
storm    	21->22		0.000452	0.041		63.867		17471
storm    	22->23		0.000468	0.041		63.935		17614
storm    	23->24		0.000489	0.041		64.003		17764
storm    	24->25		0.000519	0.041		64.071		17922
storm    	25->26		0.000560	0.041		64.139		18087
storm    	26->27		0.000620	0.041		64.207		18260
storm    	27->28		0.000714	0.041		64.275		18440
storm    	28->29		0.000874	0.041		64.343		18628
storm    	29->30		0.001210	0.455		65.090		19003
ruin     	10->11		0.000428	0.026		65.133		19063
ruin     	11->12		0.000377	0.026		65.175		19131
ruin     	12->13		0.000342	0.026		65.217		19206
ruin     	13->14		0.000341	0.026		65.260		19289
ruin     	14->15		0.000347	0.026		65.302		19379
ruin     	15->16		0.000358	0.026		65.345		19477
ruin     	16->17		0.000377	0.026		65.387		19582
ruin     	17->18		0.000408	0.026		65.429		19695
ruin     	18->19		0.000465	0.026		65.472		19815
ruin     	19->20		0.000584	0.154		65.726		20078
ruin     	20->21		0.000271	0.026		65.768		20206
ruin     	21->22		0.000279	0.026		65.811		20341
ruin     	22->23		0.000289	0.026		65.853		20484
ruin     	23->24		0.000302	0.026		65.896		20634
ruin     	24->25		0.000320	0.026		65.938		20792
ruin     	25->26		0.000346	0.026		65.980		20957
ruin     	26->27		0.000383	0.026		66.023		21130
ruin     	27->28		0.000441	0.026		66.065		21310
ruin     	28->29		0.000540	0.026		66.108		21498
ruin     	29->30		0.000748	0.281		66.574		21873
legacy   	28->29		0.000136	0.006		66.585		22061
legacy   	29->30		0.000188	0.071		66.702		22436

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should generally decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
future fd gains (e.g. 1 fd on burst from legacy) get amoratized over the
previous levels. So you get situations where the efficiency increases as you
get closer to the breakpoint. This behavior is expected if slightly unintuitive.
