skill		level		efficiency*	fd gain		total fd	total fragments cost
infinity 	11->12		0.002696	0.184		29.213		4010.0
maestro  	17->18		0.002634	0.396		29.724		4160.0
legacy   	16->17		0.002589	0.011		29.738		4265.0
legacy   	17->18		0.003710	0.011		29.753		4378.0
legacy   	18->19		0.007115	0.857		30.865		4498.0
storm    	1->2		0.002539	0.058		30.941		4521.0
maestro  	18->19		0.002459	0.394		31.458		4681.0
infinity 	12->13		0.002421	0.182		31.697		4756.0
infinity 	13->14		0.002392	0.181		31.936		4839.0
infinity 	14->15		0.002432	0.181		32.174		4929.0
infinity 	15->16		0.002506	0.181		32.413		5027.0
infinity 	16->17		0.002634	0.180		32.652		5132.0
infinity 	17->18		0.002849	0.180		32.891		5245.0
infinity 	18->19		0.003244	0.180		33.130		5365.0
infinity 	19->20		0.004072	1.077		34.564		5628.0
maestro  	19->20		0.002172	0.760		35.586		5978.0
maestro  	20->21		0.002279	0.388		36.112		6148.0
maestro  	21->22		0.002144	0.387		36.639		6328.0
storm    	2->3		0.002072	0.056		36.715		6355.0
maestro  	22->23		0.002023	0.385		37.241		6545.0
cleave   	19->20		0.001923	0.218		37.541		6720.0
cleave   	20->21		0.002560	0.218		37.841		6805.0
cleave   	21->22		0.002412	0.217		38.140		6895.0
cleave   	22->23		0.002280	0.217		38.440		6990.0
cleave   	23->24		0.002162	0.216		38.739		7090.0
cleave   	24->25		0.002054	0.216		39.039		7195.0
cleave   	25->26		0.001957	0.215		39.339		7305.0
maestro  	23->24		0.001885	0.378		39.865		7505.0
cleave   	26->27		0.001861	0.214		40.164		7620.0
storm    	3->4		0.001818	0.055		40.241		7650.0
legacy   	19->20		0.001810	0.061		40.327		7913.0
legacy   	20->21		0.003262	0.010		40.341		8041.0
legacy   	21->22		0.006280	0.851		41.536		8176.0
legacy   	22->23		0.001908	0.010		41.551		8319.0
legacy   	23->24		0.002761	0.010		41.565		8469.0
legacy   	24->25		0.005318	0.844		42.760		8627.0
maestro  	24->25		0.001785	0.376		43.296		8837.0
infinity 	20->21		0.001777	0.170		43.539		8965.0
infinity 	21->22		0.001825	0.170		43.783		9100.0
infinity 	22->23		0.001888	0.169		44.026		9243.0
infinity 	23->24		0.001974	0.169		44.269		9393.0
infinity 	24->25		0.002092	0.169		44.513		9551.0
infinity 	25->26		0.002257	0.168		44.756		9716.0
infinity 	26->27		0.002496	0.168		44.999		9889.0
infinity 	27->28		0.002871	0.168		45.243		10069.0
infinity 	28->29		0.003515	0.168		45.486		10257.0
infinity 	29->30		0.004862	1.840		48.163		10632.0
cleave   	27->28		0.001707	0.205		48.467		10752.0
maestro  	25->26		0.001673	0.361		49.003		10972.0
maestro  	26->27		0.001710	0.360		49.540		11202.0
maestro  	27->28		0.001775	0.359		50.076		11442.0
maestro  	28->29		0.001898	0.357		50.612		11692.0
maestro  	29->30		0.002171	1.091		52.256		12192.0
legacy   	25->26		0.001653	0.010		52.270		12357.0
legacy   	26->27		0.002399	0.010		52.285		12530.0
legacy   	27->28		0.004653	0.841		53.565		12710.0
cleave   	28->29		0.001592	0.199		53.871		12835.0
storm    	4->5		0.001517	0.051		53.950		12869.0
storm    	5->6		0.001532	0.051		54.028		12907.0
storm    	6->7		0.001571	0.051		54.107		12949.0
storm    	7->8		0.001646	0.051		54.186		12994.0
storm    	8->9		0.001777	0.051		54.264		13043.0
storm    	9->10		0.002035	0.306		54.736		13193.0
ruin     	1->2		0.001380	0.032		54.785		13216.0
cleave   	29->30		0.001328	0.333		55.300		13466.0
ruin     	2->3		0.001171	0.032		55.349		13493.0
ruin     	3->4		0.001054	0.032		55.398		13523.0
ruin     	4->5		0.000940	0.032		55.447		13557.0
ruin     	5->6		0.000949	0.032		55.496		13595.0
ruin     	6->7		0.000973	0.032		55.545		13637.0
ruin     	7->8		0.001020	0.032		55.594		13682.0
ruin     	8->9		0.001101	0.032		55.644		13731.0
ruin     	9->10		0.001261	0.189		55.938		13881.0
storm    	10->11		0.000840	0.050		56.017		13941.0
storm    	11->12		0.000741	0.050		56.095		14009.0
storm    	12->13		0.000671	0.050		56.174		14084.0
storm    	13->14		0.000668	0.050		56.253		14167.0
storm    	14->15		0.000680	0.050		56.331		14257.0
storm    	15->16		0.000701	0.050		56.410		14355.0
storm    	16->17		0.000738	0.050		56.488		14460.0
storm    	17->18		0.000799	0.050		56.567		14573.0
storm    	18->19		0.000910	0.050		56.646		14693.0
storm    	19->20		0.001143	0.301		57.117		14956.0
storm    	20->21		0.000529	0.050		57.196		15084.0
storm    	21->22		0.000544	0.050		57.274		15219.0
storm    	22->23		0.000563	0.050		57.353		15362.0
storm    	23->24		0.000589	0.050		57.432		15512.0
storm    	24->25		0.000625	0.050		57.510		15670.0
storm    	25->26		0.000674	0.050		57.589		15835.0
storm    	26->27		0.000747	0.050		57.667		16008.0
storm    	27->28		0.000859	0.050		57.746		16188.0
storm    	28->29		0.001052	0.050		57.824		16376.0
storm    	29->30		0.001457	0.548		58.689		16751.0
ruin     	10->11		0.000516	0.031		58.738		16811.0
ruin     	11->12		0.000455	0.031		58.787		16879.0
ruin     	12->13		0.000412	0.031		58.836		16954.0
ruin     	13->14		0.000411	0.031		58.885		17037.0
ruin     	14->15		0.000419	0.031		58.935		17127.0
ruin     	15->16		0.000432	0.031		58.984		17225.0
ruin     	16->17		0.000454	0.031		59.033		17330.0
ruin     	17->18		0.000492	0.031		59.082		17443.0
ruin     	18->19		0.000560	0.031		59.131		17563.0
ruin     	19->20		0.000704	0.185		59.426		17826.0
ruin     	20->21		0.000327	0.031		59.475		17954.0
ruin     	21->22		0.000336	0.031		59.524		18089.0
ruin     	22->23		0.000348	0.031		59.573		18232.0
ruin     	23->24		0.000364	0.031		59.622		18382.0
ruin     	24->25		0.000386	0.031		59.671		18540.0
ruin     	25->26		0.000416	0.031		59.721		18705.0
ruin     	26->27		0.000461	0.031		59.770		18878.0
ruin     	27->28		0.000530	0.031		59.819		19058.0
ruin     	28->29		0.000650	0.031		59.868		19246.0
ruin     	29->30		0.000900	0.338		60.408		19621.0
legacy   	28->29		0.000194	0.009		60.423		19809.0
legacy   	29->30		0.000269	0.101		60.585		20184.0

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
the fd increase every 3 levels gets amoratized over the previous levels.
So you get situations where the efficiency increases as you get closer to
the breakpoint. This behavior is expected if slightly unintuitive.
