skill		level		efficiency*	fd gain		total fd	total fragments cost
legacy   	10->11		0.004359	0.013		21.191		2273.0
legacy   	11->12		0.006097	0.013		21.207		2341.0
legacy   	12->13		0.011451	0.862		22.252		2416.0
cleave   	16->17		0.004008	0.281		22.596		2486.0
cleave   	17->18		0.003730	0.280		22.939		2561.0
cleave   	18->19		0.003487	0.279		23.283		2641.0
legacy   	13->14		0.003232	0.013		23.299		2724.0
legacy   	14->15		0.004590	0.013		23.315		2814.0
legacy   	15->16		0.008672	0.853		24.368		2912.0
storm    	1->2		0.003077	0.071		24.456		2935.0
maestro  	9->10		0.002930	0.409		24.965		3135.0
maestro  	10->11		0.004275	0.343		25.393		3215.0
maestro  	11->12		0.003787	0.341		25.821		3305.0
maestro  	12->13		0.003397	0.340		26.250		3405.0
maestro  	13->14		0.003078	0.339		26.678		3515.0
maestro  	14->15		0.002812	0.338		27.106		3635.0
infinity 	10->11		0.002596	0.156		27.304		3695.0
maestro  	15->16		0.002583	0.336		27.732		3825.0
legacy   	16->17		0.002574	0.013		27.749		3930.0
legacy   	17->18		0.003680	0.013		27.765		4043.0
legacy   	18->19		0.007040	0.848		28.849		4163.0
storm    	2->3		0.002554	0.069		28.938		4190.0
maestro  	16->17		0.002390	0.335		29.370		4330.0
cleave   	19->20		0.002370	0.269		29.718		4505.0
cleave   	20->21		0.003155	0.269		30.067		4590.0
cleave   	21->22		0.002972	0.268		30.415		4680.0
cleave   	22->23		0.002808	0.267		30.763		4775.0
cleave   	23->24		0.002660	0.266		31.112		4875.0
cleave   	24->25		0.002527	0.266		31.460		4980.0
cleave   	25->26		0.002406	0.265		31.808		5090.0
cleave   	26->27		0.002295	0.264		32.157		5205.0
storm    	3->4		0.002241	0.067		32.246		5235.0
infinity 	11->12		0.002222	0.151		32.446		5303.0
cleave   	27->28		0.002189	0.263		32.794		5423.0
maestro  	17->18		0.002166	0.325		33.226		5573.0
cleave   	28->29		0.002089	0.261		33.574		5698.0
maestro  	18->19		0.002019	0.324		34.007		5858.0
infinity 	12->13		0.001988	0.149		34.207		5933.0
infinity 	13->14		0.001968	0.149		34.407		6016.0
infinity 	14->15		0.002002	0.149		34.607		6106.0
infinity 	15->16		0.002063	0.149		34.807		6204.0
infinity 	16->17		0.002169	0.148		35.007		6309.0
infinity 	17->18		0.002347	0.148		35.207		6422.0
infinity 	18->19		0.002672	0.148		35.407		6542.0
infinity 	19->20		0.003355	0.886		36.606		6805.0
storm    	4->5		0.001931	0.065		36.695		6839.0
storm    	5->6		0.001950	0.065		36.784		6877.0
storm    	6->7		0.001999	0.065		36.873		6919.0
storm    	7->8		0.002095	0.065		36.962		6964.0
storm    	8->9		0.002261	0.065		37.051		7013.0
storm    	9->10		0.002589	0.389		37.584		7163.0
legacy   	19->20		0.001805	0.073		37.684		7426.0
legacy   	20->21		0.003229	0.012		37.701		7554.0
legacy   	21->22		0.006202	0.841		38.859		7689.0
legacy   	22->23		0.001893	0.012		38.875		7832.0
legacy   	23->24		0.002733	0.012		38.892		7982.0
legacy   	24->25		0.005253	0.833		40.050		8140.0
maestro  	19->20		0.001781	0.622		40.921		8490.0
maestro  	20->21		0.001871	0.319		41.370		8660.0
maestro  	21->22		0.001761	0.318		41.819		8840.0
ruin     	1->2		0.001735	0.040		41.876		8863.0
cleave   	29->30		0.001674	0.419		42.471		9113.0
maestro  	22->23		0.001656	0.315		42.920		9303.0
legacy   	25->26		0.001634	0.012		42.937		9468.0
legacy   	26->27		0.002365	0.012		42.954		9641.0
legacy   	27->28		0.004573	0.826		44.135		9821.0
maestro  	23->24		0.001569	0.314		44.588		10021.0
infinity 	20->21		0.001492	0.142		44.794		10149.0
infinity 	21->22		0.001532	0.142		45.000		10284.0
infinity 	22->23		0.001585	0.142		45.205		10427.0
infinity 	23->24		0.001658	0.142		45.411		10577.0
infinity 	24->25		0.001757	0.141		45.616		10735.0
infinity 	25->26		0.001896	0.141		45.822		10900.0
infinity 	26->27		0.002097	0.141		46.028		11073.0
infinity 	27->28		0.002412	0.141		46.233		11253.0
infinity 	28->29		0.002954	0.141		46.439		11441.0
infinity 	29->30		0.004087	1.544		48.700		11816.0
maestro  	24->25		0.001449	0.305		49.153		12026.0
ruin     	2->3		0.001418	0.038		49.210		12053.0
maestro  	25->26		0.001409	0.304		49.663		12273.0
maestro  	26->27		0.001440	0.303		50.116		12503.0
maestro  	27->28		0.001496	0.302		50.569		12743.0
maestro  	28->29		0.001600	0.301		51.023		12993.0
maestro  	29->30		0.001830	0.919		52.411		13493.0
ruin     	3->4		0.001249	0.037		52.468		13523.0
ruin     	4->5		0.001113	0.037		52.525		13557.0
ruin     	5->6		0.001124	0.037		52.582		13595.0
ruin     	6->7		0.001153	0.037		52.639		13637.0
ruin     	7->8		0.001208	0.037		52.697		13682.0
ruin     	8->9		0.001304	0.037		52.754		13731.0
ruin     	9->10		0.001494	0.224		53.096		13881.0
storm    	10->11		0.000994	0.060		53.188		13941.0
storm    	11->12		0.000877	0.060		53.279		14009.0
storm    	12->13		0.000795	0.060		53.370		14084.0
storm    	13->14		0.000791	0.060		53.462		14167.0
storm    	14->15		0.000805	0.060		53.553		14257.0
storm    	15->16		0.000830	0.060		53.645		14355.0
storm    	16->17		0.000873	0.059		53.736		14460.0
storm    	17->18		0.000945	0.059		53.827		14573.0
storm    	18->19		0.001077	0.059		53.919		14693.0
storm    	19->20		0.001352	0.356		54.467		14956.0
storm    	20->21		0.000626	0.059		54.558		15084.0
storm    	21->22		0.000643	0.059		54.650		15219.0
storm    	22->23		0.000665	0.059		54.741		15362.0
storm    	23->24		0.000696	0.059		54.833		15512.0
storm    	24->25		0.000738	0.059		54.924		15670.0
storm    	25->26		0.000797	0.059		55.015		15835.0
storm    	26->27		0.000882	0.059		55.107		16008.0
storm    	27->28		0.001015	0.059		55.198		16188.0
storm    	28->29		0.001243	0.059		55.289		16376.0
storm    	29->30		0.001721	0.647		56.295		16751.0
ruin     	10->11		0.000609	0.037		56.352		16811.0
ruin     	11->12		0.000537	0.037		56.409		16879.0
ruin     	12->13		0.000487	0.037		56.466		16954.0
ruin     	13->14		0.000485	0.037		56.523		17037.0
ruin     	14->15		0.000494	0.036		56.580		17127.0
ruin     	15->16		0.000509	0.036		56.637		17225.0
ruin     	16->17		0.000536	0.036		56.694		17330.0
ruin     	17->18		0.000580	0.036		56.751		17443.0
ruin     	18->19		0.000661	0.036		56.809		17563.0
ruin     	19->20		0.000830	0.219		57.151		17826.0
ruin     	20->21		0.000385	0.036		57.208		17954.0
ruin     	21->22		0.000396	0.036		57.265		18089.0
ruin     	22->23		0.000410	0.036		57.323		18232.0
ruin     	23->24		0.000429	0.036		57.380		18382.0
ruin     	24->25		0.000455	0.036		57.437		18540.0
ruin     	25->26		0.000491	0.036		57.494		18705.0
ruin     	26->27		0.000543	0.036		57.551		18878.0
ruin     	27->28		0.000625	0.036		57.608		19058.0
ruin     	28->29		0.000766	0.036		57.665		19246.0
ruin     	29->30		0.001060	0.398		58.293		19621.0
legacy   	28->29		0.000229	0.011		58.311		19809.0
legacy   	29->30		0.000317	0.119		58.499		20184.0

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
the fd increase every 3 levels gets amoratized over the previous levels.
So you get situations where the efficiency increases as you get closer to
the breakpoint. This behavior is expected if slightly unintuitive.
