skill		level		efficiency*	fd gain		total fd	total fragments cost
ruin     	2->3		0.001091	0.029		43.935		13493.0
ruin     	3->4		0.000982	0.029		43.977		13523.0
ruin     	4->5		0.000876	0.029		44.020		13557.0
ruin     	5->6		0.000884	0.029		44.062		13595.0
ruin     	6->7		0.000907	0.029		44.104		13637.0
ruin     	7->8		0.000950	0.029		44.147		13682.0
ruin     	8->9		0.001026	0.029		44.189		13731.0
ruin     	9->10		0.001175	0.176		44.443		13881.0
storm    	10->11		0.000784	0.047		44.511		13941.0
storm    	11->12		0.000691	0.047		44.579		14009.0
storm    	12->13		0.000627	0.047		44.647		14084.0
storm    	13->14		0.000624	0.047		44.715		14167.0
storm    	14->15		0.000635	0.047		44.783		14257.0
storm    	15->16		0.000655	0.047		44.851		14355.0
storm    	16->17		0.000689	0.047		44.919		14460.0
storm    	17->18		0.000746	0.047		44.987		14573.0
storm    	18->19		0.000850	0.047		45.055		14693.0
storm    	19->20		0.001067	0.281		45.463		14956.0
storm    	20->21		0.000495	0.047		45.531		15084.0
storm    	21->22		0.000508	0.047		45.599		15219.0
storm    	22->23		0.000526	0.047		45.667		15362.0
storm    	23->24		0.000551	0.047		45.735		15512.0
storm    	24->25		0.000584	0.047		45.803		15670.0
storm    	25->26		0.000630	0.047		45.871		15835.0
storm    	26->27		0.000698	0.047		45.939		16008.0
storm    	27->28		0.000803	0.047		46.006		16188.0
storm    	28->29		0.000983	0.047		46.074		16376.0
storm    	29->30		0.001361	0.512		46.822		16751.0
ruin     	10->11		0.000481	0.029		46.864		16811.0
ruin     	11->12		0.000424	0.029		46.907		16879.0
ruin     	12->13		0.000385	0.029		46.949		16954.0
ruin     	13->14		0.000384	0.029		46.992		17037.0
ruin     	14->15		0.000391	0.029		47.034		17127.0
ruin     	15->16		0.000403	0.029		47.076		17225.0
ruin     	16->17		0.000424	0.029		47.119		17330.0
ruin     	17->18		0.000459	0.029		47.161		17443.0
ruin     	18->19		0.000523	0.029		47.204		17563.0
ruin     	19->20		0.000656	0.173		47.458		17826.0
ruin     	20->21		0.000305	0.029		47.500		17954.0
ruin     	21->22		0.000313	0.029		47.543		18089.0
ruin     	22->23		0.000324	0.029		47.585		18232.0
ruin     	23->24		0.000339	0.029		47.627		18382.0
ruin     	24->25		0.000360	0.029		47.670		18540.0
ruin     	25->26		0.000389	0.029		47.712		18705.0
ruin     	26->27		0.000430	0.029		47.755		18878.0
ruin     	27->28		0.000495	0.029		47.797		19058.0
ruin     	28->29		0.000607	0.029		47.839		19246.0
ruin     	29->30		0.000840	0.315		48.306		19621.0
legacy   	28->29		0.000153	0.007		48.316		19809.0
legacy   	29->30		0.000212	0.079		48.434		20184.0

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
the fd increase every 3 levels gets amoratized over the previous levels.
So you get situations where the efficiency increases as you get closer to
the breakpoint. This behavior is expected if slightly unintuitive.
