skill		level		efficiency*	fd gain		total fd	total fragments cost
legacy   	24->25		0.003311	0.525		68.426		14226
bloom    	19->20		0.001121	0.126		68.637		14401
bloom    	20->21		0.001474	0.125		68.849		14486
bloom    	21->22		0.001391	0.125		69.060		14576
bloom    	22->23		0.001316	0.125		69.272		14671
bloom    	23->24		0.001249	0.125		69.483		14771
bloom    	24->25		0.001188	0.125		69.695		14876
bloom    	25->26		0.001132	0.125		69.906		14986
maestro  	22->23		0.001111	0.211		70.265		15176
bloom    	26->27		0.001079	0.124		70.476		15291
ruin     	1->2		0.001074	0.025		70.519		15314
maestro  	23->24		0.001051	0.210		70.877		15514
bloom    	27->28		0.001031	0.124		71.089		15634
legacy   	25->26		0.001025	0.006		71.100		15799
legacy   	26->27		0.001486	0.006		71.110		15972
legacy   	27->28		0.002881	0.520		72.000		16152
infinity 	20->21		0.001007	0.096		72.164		16280
infinity 	21->22		0.001034	0.095		72.329		16415
infinity 	22->23		0.001071	0.095		72.493		16558
infinity 	23->24		0.001120	0.095		72.657		16708
infinity 	24->25		0.001187	0.095		72.822		16866
infinity 	25->26		0.001281	0.095		72.986		17031
infinity 	26->27		0.001418	0.095		73.150		17204
infinity 	27->28		0.001631	0.095		73.315		17384
infinity 	28->29		0.001998	0.095		73.479		17572
infinity 	29->30		0.002765	1.042		75.287		17947
maestro  	24->25		0.000983	0.207		75.649		18157
bloom    	28->29		0.000966	0.121		75.862		18282
maestro  	25->26		0.000959	0.206		76.224		18502
maestro  	26->27		0.000981	0.206		76.586		18732
maestro  	27->28		0.001019	0.205		76.948		18972
maestro  	28->29		0.001091	0.205		77.310		19222
maestro  	29->30		0.001248	0.626		78.420		19722
ruin     	2->3		0.000879	0.024		78.463		19749
ruin     	3->4		0.000791	0.024		78.505		19779
ruin     	4->5		0.000706	0.024		78.547		19813
ruin     	5->6		0.000713	0.024		78.590		19851
ruin     	6->7		0.000731	0.024		78.632		19893
ruin     	7->8		0.000766	0.024		78.675		19938
ruin     	8->9		0.000827	0.024		78.717		19987
ruin     	9->10		0.000948	0.142		78.971		20137
storm    	10->11		0.000632	0.038		79.039		20197
sbreign  	29->30		0.000570	0.143		79.295		20447
storm    	11->12		0.000557	0.038		79.362		20515
storm    	12->13		0.000505	0.038		79.430		20590
storm    	13->14		0.000503	0.038		79.498		20673
storm    	14->15		0.000512	0.038		79.566		20763
storm    	15->16		0.000528	0.038		79.634		20861
storm    	16->17		0.000555	0.038		79.702		20966
storm    	17->18		0.000601	0.038		79.770		21079
storm    	18->19		0.000685	0.038		79.838		21199
storm    	19->20		0.000861	0.227		80.245		21462
bloom    	29->30		0.000470	0.118		80.458		21712
storm    	20->21		0.000399	0.038		80.526		21840
storm    	21->22		0.000410	0.038		80.593		21975
storm    	22->23		0.000424	0.038		80.661		22118
storm    	23->24		0.000444	0.038		80.729		22268
storm    	24->25		0.000471	0.038		80.797		22426
storm    	25->26		0.000508	0.038		80.865		22591
storm    	26->27		0.000563	0.038		80.933		22764
storm    	27->28		0.000647	0.038		81.001		22944
storm    	28->29		0.000793	0.038		81.069		23132
storm    	29->30		0.001098	0.413		81.816		23507
ruin     	10->11		0.000388	0.023		81.858		23567
ruin     	11->12		0.000343	0.023		81.901		23635
ruin     	12->13		0.000311	0.023		81.943		23710
ruin     	13->14		0.000310	0.023		81.986		23793
ruin     	14->15		0.000315	0.023		82.028		23883
ruin     	15->16		0.000325	0.023		82.070		23981
ruin     	16->17		0.000342	0.023		82.113		24086
ruin     	17->18		0.000370	0.023		82.155		24199
ruin     	18->19		0.000422	0.023		82.197		24319
ruin     	19->20		0.000530	0.140		82.452		24582
ruin     	20->21		0.000246	0.023		82.494		24710
ruin     	21->22		0.000253	0.023		82.536		24845
ruin     	22->23		0.000262	0.023		82.579		24988
ruin     	23->24		0.000274	0.023		82.621		25138
ruin     	24->25		0.000291	0.023		82.663		25296
ruin     	25->26		0.000314	0.023		82.706		25461
ruin     	26->27		0.000348	0.023		82.748		25634
ruin     	27->28		0.000400	0.023		82.791		25814
ruin     	28->29		0.000490	0.023		82.833		26002
ruin     	29->30		0.000679	0.255		83.299		26377
legacy   	28->29		0.000124	0.006		83.310		26565
legacy   	29->30		0.000171	0.064		83.427		26940

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should generally decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
future fd gains (e.g. 1 fd on burst from legacy) get amoratized over the
previous levels. So you get situations where the efficiency increases as you
get closer to the breakpoint. This behavior is expected if slightly unintuitive.
