skill		level		efficiency*	fd gain		total fd	total fragments cost
decree   	9->10		0.007371	0.455		23.070		1399
decree   	10->11		0.011287	0.452		23.627		1439
decree   	11->12		0.009988	0.450		24.183		1484
decree   	12->13		0.008949	0.448		24.740		1534
decree   	13->14		0.008099	0.446		25.297		1589
decree   	14->15		0.007391	0.444		25.854		1649
maestro  	6->7		0.007006	0.386		26.340		1704
sbreign  	4->5		0.006798	0.156		26.538		1727
cleave   	8->9		0.006780	0.224		26.821		1760
decree   	15->16		0.006741	0.439		27.378		1825
infinity 	2->3		0.006564	0.177		27.604		1852
maestro  	7->8		0.006335	0.381		28.090		1912
decree   	16->17		0.006197	0.435		28.647		1982
bloom    	4->5		0.006158	0.142		28.829		2005
sbreign  	5->6		0.006133	0.153		29.027		2030
infinity 	3->4		0.005832	0.175		29.253		2060
maestro  	8->9		0.005773	0.376		29.738		2125
decree   	17->18		0.005711	0.429		30.295		2200
bloom    	5->6		0.005593	0.140		30.478		2225
sbreign  	6->7		0.005407	0.152		30.675		2253
decree   	18->19		0.005316	0.426		31.232		2333
infinity 	4->5		0.005081	0.172		31.458		2367
infinity 	5->6		0.005128	0.172		31.684		2405
infinity 	6->7		0.005254	0.172		31.910		2447
infinity 	7->8		0.005502	0.171		32.136		2492
infinity 	8->9		0.005936	0.171		32.362		2541
infinity 	9->10		0.006793	1.024		33.717		2691
ruin     	0->1		0.004947	0.372		34.215		2766
sbreign  	7->8		0.004906	0.147		34.412		2796
bloom    	6->7		0.004841	0.136		34.595		2824
bloom    	7->8		0.004512	0.135		34.777		2854
sbreign  	8->9		0.004441	0.147		34.975		2887
legacy   	7->8		0.004396	0.010		34.988		2932
legacy   	8->9		0.005064	0.010		35.002		2981
legacy   	9->10		0.006656	1.003		36.356		3131
legacy   	10->11		0.004726	0.010		36.370		3191
legacy   	11->12		0.006640	0.010		36.384		3259
legacy   	12->13		0.012530	0.944		37.671		3334
bloom    	8->9		0.004080	0.135		37.857		3367
cleave   	9->10		0.003698	0.209		38.145		3467
cleave   	10->11		0.005219	0.209		38.434		3507
cleave   	11->12		0.004629	0.209		38.723		3552
cleave   	12->13		0.004382	0.208		39.011		3602
cleave   	13->14		0.004565	0.208		39.300		3657
cleave   	14->15		0.005385	0.324		39.751		3717
decree   	19->20		0.003537	0.406		40.318		3892
decree   	20->21		0.004746	0.404		40.885		3977
decree   	21->22		0.004464	0.403		41.452		4067
decree   	22->23		0.004212	0.401		42.019		4162
decree   	23->24		0.003986	0.399		42.586		4262
decree   	24->25		0.003781	0.398		43.154		4367
decree   	25->26		0.003595	0.396		43.721		4477
legacy   	13->14		0.003500	0.010		43.735		4560
legacy   	14->15		0.004995	0.010		43.748		4650
legacy   	15->16		0.009486	0.934		45.091		4748
decree   	26->27		0.003423	0.394		45.663		4863
decree   	27->28		0.003268	0.393		46.235		4983
decree   	28->29		0.003125	0.391		46.808		5108
cleave   	15->16		0.003072	0.200		47.101		5173
maestro  	9->10		0.002909	0.406		47.699		5373
maestro  	10->11		0.004245	0.340		48.201		5453
maestro  	11->12		0.003761	0.339		48.704		5543
maestro  	12->13		0.003373	0.338		49.206		5643
maestro  	13->14		0.003056	0.337		49.709		5753
cleave   	16->17		0.002798	0.196		50.002		5823
maestro  	14->15		0.002787	0.335		50.505		5943
legacy   	16->17		0.002778	0.009		50.518		6048
legacy   	17->18		0.003991	0.009		50.532		6161
legacy   	18->19		0.007674	0.925		51.925		6281
cleave   	17->18		0.002596	0.195		52.221		6356
infinity 	10->11		0.002568	0.154		52.456		6416
maestro  	15->16		0.002555	0.333		52.963		6546
cleave   	18->19		0.002417	0.194		53.259		6626
maestro  	16->17		0.002360	0.331		53.766		6766
sbreign  	9->10		0.002250	0.133		53.972		6866
sbreign  	10->11		0.003329	0.133		54.177		6906
sbreign  	11->12		0.002955	0.133		54.382		6951
sbreign  	12->13		0.002656	0.133		54.587		7001
sbreign  	13->14		0.002411	0.133		54.792		7056
infinity 	11->12		0.002228	0.152		55.027		7124
sbreign  	14->15		0.002204	0.132		55.232		7184
maestro  	17->18		0.002175	0.327		55.739		7334
storm    	1->2		0.002096	0.048		55.814		7357
maestro  	18->19		0.002031	0.326		56.322		7517
sbreign  	15->16		0.002018	0.131		56.527		7582
bloom    	9->10		0.002014	0.121		56.715		7682
bloom    	10->11		0.003008	0.120		56.904		7722
bloom    	11->12		0.002671	0.120		57.093		7767
bloom    	12->13		0.002401	0.120		57.282		7817
bloom    	13->14		0.002180	0.120		57.470		7872
bloom    	14->15		0.001996	0.120		57.659		7932
infinity 	12->13		0.001984	0.149		57.894		8007
infinity 	13->14		0.001964	0.149		58.128		8090
infinity 	14->15		0.001997	0.148		58.363		8180
infinity 	15->16		0.002058	0.148		58.598		8278
infinity 	16->17		0.002163	0.148		58.833		8383
infinity 	17->18		0.002341	0.148		59.067		8496
infinity 	18->19		0.002666	0.148		59.302		8616
infinity 	19->20		0.003347	0.884		60.710		8879
legacy   	19->20		0.001928	0.053		60.795		9142
legacy   	20->21		0.003502	0.009		60.809		9270
legacy   	21->22		0.006759	0.917		62.283		9405
legacy   	22->23		0.002043	0.009		62.297		9548
legacy   	23->24		0.002963	0.009		62.311		9698
legacy   	24->25		0.005722	0.908		63.785		9856
sbreign  	16->17		0.001821	0.128		63.994		9926
bloom    	15->16		0.001799	0.117		64.186		9991
maestro  	19->20		0.001783	0.623		65.209		10341
maestro  	20->21		0.001873	0.319		65.736		10511
maestro  	21->22		0.001763	0.318		66.263		10691
legacy   	25->26		0.001763	0.009		66.277		10856
legacy   	26->27		0.002563	0.009		66.291		11029
legacy   	27->28		0.004978	0.900		67.788		11209
storm    	2->3		0.001704	0.046		67.866		11236
sbreign  	17->18		0.001673	0.126		68.076		11311
maestro  	22->23		0.001662	0.316		68.608		11501
bloom    	16->17		0.001638	0.115		68.801		11571
cleave   	19->20		0.001590	0.180		69.105		11746
cleave   	20->21		0.002113	0.180		69.409		11831
cleave   	21->22		0.001992	0.179		69.713		11921
cleave   	22->23		0.001884	0.179		70.017		12016
cleave   	23->24		0.001786	0.179		70.321		12116
cleave   	24->25		0.001698	0.178		70.625		12221
cleave   	25->26		0.001618	0.178		70.929		12331
maestro  	23->24		0.001553	0.311		71.461		12531
cleave   	26->27		0.001540	0.177		71.765		12646
sbreign  	18->19		0.001533	0.123		71.976		12726
bloom    	17->18		0.001499	0.112		72.169		12801
storm    	3->4		0.001495	0.045		72.246		12831
infinity 	20->21		0.001470	0.140		72.488		12959
infinity 	21->22		0.001510	0.140		72.729		13094
infinity 	22->23		0.001562	0.140		72.970		13237
infinity 	23->24		0.001634	0.139		73.211		13387
infinity 	24->25		0.001731	0.139		73.453		13545
infinity 	25->26		0.001868	0.139		73.694		13710
infinity 	26->27		0.002067	0.139		73.935		13883
infinity 	27->28		0.002377	0.139		74.177		14063
infinity 	28->29		0.002911	0.139		74.418		14251
infinity 	29->30		0.004028	1.522		77.072		14626
cleave   	27->28		0.001429	0.172		77.376		14746
maestro  	24->25		0.001425	0.300		77.908		14956
maestro  	25->26		0.001387	0.299		78.439		15176
maestro  	26->27		0.001418	0.298		78.971		15406
maestro  	27->28		0.001473	0.297		79.503		15646
maestro  	28->29		0.001575	0.296		80.034		15896
maestro  	29->30		0.001802	0.905		81.664		16396
cleave   	28->29		0.001337	0.167		81.968		16521
bloom    	18->19		0.001328	0.106		82.161		16601
decree   	29->30		0.001300	0.325		82.754		16851
storm    	4->5		0.001256	0.042		82.831		16885
storm    	5->6		0.001268	0.042		82.909		16923
storm    	6->7		0.001300	0.042		82.986		16965
storm    	7->8		0.001362	0.042		83.063		17010
storm    	8->9		0.001471	0.042		83.140		17059
storm    	9->10		0.001684	0.253		83.603		17209
ruin     	1->2		0.001143	0.026		83.652		17232
cleave   	29->30		0.001124	0.281		84.169		17482
sbreign  	19->20		0.001030	0.114		84.379		17657
sbreign  	20->21		0.001344	0.114		84.590		17742
sbreign  	21->22		0.001268	0.114		84.801		17832
sbreign  	22->23		0.001200	0.114		85.012		17927
sbreign  	23->24		0.001139	0.114		85.222		18027
sbreign  	24->25		0.001083	0.114		85.433		18132
sbreign  	25->26		0.001033	0.114		85.644		18242
sbreign  	26->27		0.000987	0.114		85.855		18357
ruin     	2->3		0.000962	0.026		85.903		18384
sbreign  	27->28		0.000944	0.113		86.114		18504
bloom    	19->20		0.000928	0.104		86.307		18679
bloom    	20->21		0.001221	0.104		86.501		18764
bloom    	21->22		0.001152	0.104		86.694		18854
bloom    	22->23		0.001090	0.104		86.888		18949
bloom    	23->24		0.001035	0.104		87.081		19049
bloom    	24->25		0.000984	0.103		87.275		19154
bloom    	25->26		0.000939	0.103		87.468		19264
sbreign  	28->29		0.000899	0.112		87.679		19389
bloom    	26->27		0.000896	0.103		87.872		19504
bloom    	27->28		0.000858	0.103		88.066		19624
ruin     	3->4		0.000855	0.026		88.114		19654
bloom    	28->29		0.000822	0.103		88.307		19779
ruin     	4->5		0.000762	0.026		88.356		19813
ruin     	5->6		0.000770	0.026		88.404		19851
ruin     	6->7		0.000789	0.026		88.452		19893
ruin     	7->8		0.000827	0.026		88.500		19938
ruin     	8->9		0.000893	0.026		88.549		19987
ruin     	9->10		0.001023	0.154		88.838		20137
storm    	10->11		0.000681	0.041		88.915		20197
storm    	11->12		0.000601	0.041		88.993		20265
storm    	12->13		0.000545	0.041		89.070		20340
storm    	13->14		0.000543	0.041		89.147		20423
storm    	14->15		0.000552	0.041		89.224		20513
storm    	15->16		0.000570	0.041		89.301		20611
storm    	16->17		0.000599	0.041		89.379		20716
storm    	17->18		0.000649	0.041		89.456		20829
storm    	18->19		0.000739	0.041		89.533		20949
storm    	19->20		0.000928	0.244		89.996		21212
sbreign  	29->30		0.000444	0.111		90.207		21462
storm    	20->21		0.000430	0.041		90.284		21590
storm    	21->22		0.000442	0.041		90.362		21725
storm    	22->23		0.000457	0.041		90.439		21868
storm    	23->24		0.000479	0.041		90.516		22018
storm    	24->25		0.000507	0.041		90.593		22176
storm    	25->26		0.000548	0.041		90.670		22341
storm    	26->27		0.000607	0.040		90.748		22514
storm    	27->28		0.000698	0.040		90.825		22694
storm    	28->29		0.000855	0.040		90.902		22882
storm    	29->30		0.001184	0.445		91.751		23257
ruin     	10->11		0.000419	0.025		91.800		23317
bloom    	29->30		0.000403	0.101		91.993		23567
ruin     	11->12		0.000370	0.025		92.041		23635
ruin     	12->13		0.000335	0.025		92.090		23710
ruin     	13->14		0.000334	0.025		92.138		23793
ruin     	14->15		0.000340	0.025		92.186		23883
ruin     	15->16		0.000351	0.025		92.234		23981
ruin     	16->17		0.000369	0.025		92.283		24086
ruin     	17->18		0.000399	0.025		92.331		24199
ruin     	18->19		0.000455	0.025		92.379		24319
ruin     	19->20		0.000572	0.151		92.669		24582
ruin     	20->21		0.000266	0.025		92.717		24710
ruin     	21->22		0.000273	0.025		92.765		24845
ruin     	22->23		0.000283	0.025		92.814		24988
ruin     	23->24		0.000296	0.025		92.862		25138
ruin     	24->25		0.000314	0.025		92.910		25296
ruin     	25->26		0.000339	0.025		92.958		25461
ruin     	26->27		0.000375	0.025		93.007		25634
ruin     	27->28		0.000432	0.025		93.055		25814
ruin     	28->29		0.000529	0.025		93.103		26002
ruin     	29->30		0.000732	0.275		93.634		26377
legacy   	28->29		0.000158	0.007		93.648		26565
legacy   	29->30		0.000219	0.082		93.808		26940

*efficiency is (morally) fd gain divided by fragment cost. Overall efficiency
should generally decrease as you move down the list. You may note a few times
where this doesn't happens, most noticeably with legacy. This is because
future fd gains (e.g. 1 fd on burst from legacy) get amoratized over the
previous levels. So you get situations where the efficiency increases as you
get closer to the breakpoint. This behavior is expected if slightly unintuitive.
